                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.46304,                0.87027,                      1,                0.47965,             0.00023689,             0.00023689,             0.00023689
                      2,                0.25546,                0.91081,                      1,                0.44381,             0.00045608,             0.00045608,             0.00045608
                      3,                0.18032,                0.92703,                      1,                0.37928,             0.00065643,             0.00065643,             0.00065643
                      4,                0.14556,                0.93784,                      1,                0.39493,             0.00062918,             0.00062918,             0.00062918
                      5,                0.12273,                0.94324,                      1,                0.38376,              0.0006009,              0.0006009,              0.0006009
                      6,                0.09177,                0.93784,                      1,                 0.3869,             0.00057263,             0.00057263,             0.00057263
                      7,                0.06664,                0.94324,                      1,                0.37696,             0.00054435,             0.00054435,             0.00054435
                      8,                0.07325,                0.94324,                      1,                0.36907,             0.00051608,             0.00051608,             0.00051608
                      9,                 0.0707,                0.91351,                      1,                0.39537,              0.0004878,              0.0004878,              0.0004878
                     10,                0.05399,                0.94054,                      1,                0.37231,             0.00045953,             0.00045953,             0.00045953
                     11,                0.04855,                0.91622,                      1,                0.39203,             0.00043126,             0.00043126,             0.00043126
                     12,                0.03888,                0.92703,                      1,                0.37925,             0.00040298,             0.00040298,             0.00040298
                     13,                0.03824,                0.94595,                      1,                 0.3644,             0.00037471,             0.00037471,             0.00037471
                     14,                0.02992,                0.95676,                      1,                0.35742,             0.00034643,             0.00034643,             0.00034643
                     15,                0.03293,                0.92703,                      1,                0.39993,             0.00031816,             0.00031816,             0.00031816
                     16,                0.03372,                0.92973,                      1,                0.38213,             0.00028988,             0.00028988,             0.00028988
                     17,                0.03255,                0.95946,                      1,                0.35611,             0.00026161,             0.00026161,             0.00026161
                     18,                0.02559,                0.94595,                      1,                 0.3647,             0.00023334,             0.00023334,             0.00023334
                     19,                0.02435,                0.92973,                      1,                0.37053,             0.00020506,             0.00020506,             0.00020506
                     20,                0.02476,                0.94595,                      1,                0.36765,             0.00017679,             0.00017679,             0.00017679
                     21,                0.02747,                0.94595,                      1,                0.37086,             0.00014851,             0.00014851,             0.00014851
                     22,                0.02559,                0.95135,                      1,                0.35896,             0.00012024,             0.00012024,             0.00012024
                     23,                0.02734,                0.94324,                      1,                0.36912,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     24,                0.02108,                0.94595,                      1,                0.36729,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     25,                0.02188,                0.94595,                      1,                0.36915,             3.5414e-05,             3.5414e-05,             3.5414e-05
